Day,Day of Week,Year,Number Injured,Number Killed
1,Monday,1966,31,15
12,Saturday,1966,2,5
23,Monday,1967,6,6
16,Saturday,1968,2,7
5,Saturday,1969,17,4
23,Wednesday,1970,0,4
29,Monday,1972,5,4
21,Wednesday,1972,6,6
7,Sunday,1973,8,7
2,Sunday,1975,1,5
12,Monday,1976,2,7
14,Monday,1977,5,5
23,Saturday,1977,2,6
26,Friday,1977,0,6
17,Saturday,1978,0,4
3,Sunday,1980,3,5
22,Sunday,1980,11,5
21,Monday,1980,1,4
7,Thursday,1981,20,4
16,Friday,1981,3,5
3,Monday,1982,0,4
9,Monday,1982,4,6
20,Friday,1982,3,8
3,Thursday,1983,1,4
1,Tuesday,1983,2,6
11,Tuesday,1983,0,6
17,Thursday,1984,1,8
29,Friday,1984,1,6
18,Wednesday,1984,19,21
24,Tuesday,1984,1,5
16,Saturday,1985,2,4
20,Wednesday,1986,6,14
23,Thursday,1987,14,6
16,Tuesday,1988,4,7
17,Sunday,1988,5,4
22,Thursday,1988,2,4
17,Tuesday,1989,30,5
14,Thursday,1989,12,9
18,Monday,1990,6,11
10,Thursday,1991,0,4
16,Wednesday,1991,22,23
1,Friday,1991,1,5
9,Saturday,1991,0,4
14,Thursday,1991,6,4
15,Sunday,1992,0,4
1,Friday,1992,10,4
15,Thursday,1992,0,4
8,Sunday,1992,1,6
1,Thursday,1993,6,8
6,Friday,1993,7,4
14,Thursday,1993,2,4
2,Thursday,1993,5,4
7,Tuesday,1993,19,6
14,Tuesday,1993,1,4
20,Monday,1994,23,4
31,Saturday,1994,1,5
3,Monday,1995,0,5
19,Wednesday,1995,0,4
19,Tuesday,1995,3,5
9,Friday,1996,1,5
24,Wednesday,1996,3,5
19,Tuesday,1997,4,4
15,Monday,1997,3,4
3,Wednesday,1997,0,4
18,Thursday,1997,3,4
6,Friday,1998,0,4
24,Tuesday,1998,10,5
24,Tuesday,1998,10,5
20,Wednesday,1998,25,4
10,Wednesday,1999,4,4
20,Tuesday,1999,23,13
20,Tuesday,1999,23,13
3,Thursday,1999,1,4
29,Thursday,1999,13,12
15,Wednesday,1999,7,7
2,Tuesday,1999,0,7
30,Thursday,1999,3,5
20,Monday,2000,1,5
28,Friday,2000,1,5
26,Tuesday,2000,0,7
9,Tuesday,2001,0,4
5,Monday,2001,4,4
3,Tuesday,2001,3,4
8,Saturday,2001,2,5
22,Friday,2002,5,4
25,Tuesday,2003,1,4
8,Tuesday,2003,8,6
27,Wednesday,2003,0,6
24,Tuesday,2003,0,4
2,Friday,2004,2,5
21,Sunday,2004,2,6
8,Wednesday,2004,2,4
11,Friday,2005,3,4
12,Saturday,2005,4,7
21,Monday,2005,7,9
28,Sunday,2005,0,4
30,Monday,2006,0,7
25,Saturday,2006,2,6
21,Sunday,2006,1,5
2,Monday,2006,5,5
12,Monday,2007,4,5
16,Monday,2007,26,32
5,Wednesday,2007,5,8
9,Sunday,2007,5,4
7,Thursday,2008,1,6
14,Thursday,2008,21,5
18,Tuesday,2008,0,4
25,Wednesday,2008,1,5
2,Tuesday,2008,4,6
29,Sunday,2009,3,8
3,Friday,2009,4,13
1,Sunday,2009,0,4
5,Thursday,2009,32,13
29,Sunday,2009,0,4
3,Saturday,2010,2,4
6,Sunday,2010,3,4
3,Tuesday,2010,2,8
14,Saturday,2010,4,4
11,Saturday,2010,0,5
8,Saturday,2011,13,6
7,Sunday,2011,1,7
6,Tuesday,2011,7,4
12,Wednesday,2011,1,8
2,Monday,2012,3,7
30,Wednesday,2012,1,5
20,Friday,2012,70,12
5,Sunday,2012,3,6
27,Thursday,2012,2,6
14,Friday,2012,1,27
13,Wednesday,2013,2,4
21,Sunday,2013,0,4
7,Friday,2013,3,5
26,Friday,2013,0,6
16,Monday,2013,8,12
20,Thursday,2014,2,4
23,Friday,2014,14,6
24,Friday,2014,3,4
17,Wednesday,2015,1,9
16,Thursday,2015,2,5
1,Thursday,2015,8,9
14,Saturday,2015,0,6
2,Wednesday,2015,24,14
2,Wednesday,2015,24,14
20,Saturday,2016,2,6
9,Wednesday,2016,3,5
12,Sunday,2016,53,49
7,Thursday,2016,11,5
23,Friday,2016,0,5
6,Friday,2017,43,5
6,Monday,2017,0,4
22,Wednesday,2017,0,4
5,Monday,2017,0,5
1,Sunday,2017,867,60
5,Sunday,2017,20,25
14,Tuesday,2017,18,5
28,Sunday,2018,1,4
14,Wednesday,2018,17,17
26,Monday,2018,0,4
22,Sunday,2018,4,4
18,Friday,2018,13,10
28,Thursday,2018,3,5
12,Wednesday,2018,0,5
27,Saturday,2018,6,11
7,Wednesday,2018,21,12
23,Wednesday,2019,0,5
15,Friday,2019,7,5
31,Friday,2019,4,12
3,Saturday,2019,26,23
4,Sunday,2019,27,9
31,Saturday,2019,23,7
10,Tuesday,2019,3,4
10,Tuesday,2019,3,4
26,Wednesday,2020,0,5
15,Sunday,2020,3,4
9,Saturday,2021,3,5
16,Tuesday,2021,1,8
22,Monday,2021,1,10
31,Wednesday,2021,1,4
15,Thursday,2021,7,8
26,Wednesday,2021,1,9
30,Tuesday,2021,7,4
27,Monday,2021,2,5
14,Saturday,2022,3,10
24,Tuesday,2022,17,21
1,Wednesday,2022,0,4
4,Monday,2022,46,7
13,Thursday,2022,2,5
NIL,Saturday/Sunday,2022,19,5
22,Tuesday,2022,6,6
